Temperature,Humidity,Label
25.39,58.15,0
29.61,46.48,0
28.07,41.14,0
26.7,58.43,0
23.36,57.87,0
23.22,59.73,1
22.51,55.94,0
29.13,42.94,0
26.58,47.64,0
28.31,44.04,0
21.89,60.05,0
29.42,51.97,0
29.04,45.02,0
23.97,41.69,0
23.68,48.29,0
23.69,46.32,0
24.47,59.52,1
25.97,52.62,0
25.52,62.05,0
24.17,49.38,0
27.24,41.69,0
23.12,57.93,0
24.14,57.3,0
24.89,53.26,0
25.83,61.29,0
28.18,51.19,1
23.42,54.74,0
26.25,48.43,0
26.88,41.7,0
22.29,45.58,0
26.79,35.84,0
23.51,54.32,0
22.17,49.01,0
29.25,52.31,0
29.59,63.43,0
28.49,45.02,0
24.62,50.43,0
23.32,58.58,0
27.83,48.06,0
25.57,42.43,0
23.07,47.92,0
25.76,43.21,0
22.38,62.27,0
29.3,59.34,0
24.28,56.62,0
27.17,60.94,0
24.77,60.67,0
26.74,48.82,0
26.46,64.06,0
23.72,52.83,0
30.09,62.59,0
28.21,61.59,0
29.71,43.87,0
29.3,40.74,0
26.95,41.96,0
29.28,49.97,0
22.86,60.49,0
23.86,64.87,0
22.94,40.83,0
25.04,52.33,0
25.91,52.09,0
24.09,41.13,0
29.05,43.47,0
25.07,49.98,0
25.07,60.62,0
26.26,50.37,0
23.04,53.65,0
28.41,56.74,0
22.13,50.36,0
29.91,68.84,0
36.69,83.2,1
31.99,72.18,1
33.76,72.31,1
32.85,86.27,1
32.46,83.79,1
30.27,68.47,1
34.19,72.17,1
33.86,82.31,1
30.16,71.06,0
32.7,73.88,1
36.91,83.05,1
31.74,82.82,1
30.71,82.5,0
34.04,72.53,1
37.08,83.35,1
32.28,75.5,1
34.44,78.02,1
35.37,83.09,1
31.89,84.73,1
35.34,89.7,1
32.67,83.98,1
34.84,85.12,0
34.35,70.33,1
33.94,74.87,1
30.9,71.75,0
36.24,77.87,1
32.7,90.77,1
31.21,77.75,1
30.07,88.4,0
34.77,80.37,1
35.09,90.79,1
30.15,80.31,1
34.31,81.76,1
31.88,81.3,0
35.13,74.87,1
31.5,84.9,1
35.72,74.03,1
33.5,71.43,1
36.75,86.67,1
31.53,76.23,1
32.86,92.0,1
31.48,88.06,1
36.46,86.32,1
36.63,77.15,1
32.41,70.42,1
34.38,90.75,1
35.66,75.18,1
33.57,92.39,1
33.92,88.96,1
32.21,86.21,1
31.4,73.86,1
36.61,74.39,1
37.1,88.67,1
34.33,76.49,1
32.17,70.81,0
32.74,78.55,1
35.51,88.05,1
36.59,87.26,1
35.91,80.88,1
35.76,68.94,1
39.24,40.54,1
42.46,50.08,1
36.42,45.42,0
38.68,52.64,1
41.32,54.06,0
40.21,60.91,1
40.2,54.02,1
40.55,48.71,1
37.57,55.37,1
37.56,43.2,1
40.86,53.93,1
40.79,41.69,0
41.39,40.53,1
41.44,59.2,1
38.78,57.12,1
38.52,53.63,1
41.54,47.03,1
39.93,42.37,1
40.08,43.06,1
41.01,43.92,1
41.57,49.56,1
37.68,54.5,1
38.2,52.69,1
36.27,48.61,1
39.28,53.8,0
35.47,56.94,1
38.57,53.58,1
38.5,48.09,1
36.95,47.71,1
39.95,44.21,1
36.11,44.3,1
35.59,53.6,1
41.34,38.07,1
38.02,45.83,1
37.23,42.79,0
39.41,43.36,1
40.77,58.55,1
36.64,51.82,1
39.3,48.43,0
36.08,42.94,1
30.1,51.08,0
29.68,52.06,0
26.32,52.82,0
29.32,73.16,0
29.73,53.91,0
32.09,62.05,1
32.06,78.85,1
25.43,53.13,0
28.97,76.34,0
31.7,61.1,1
30.95,55.32,1
34.89,73.77,1
32.05,72.67,1
26.36,78.21,0
25.05,77.58,0
31.76,77.75,1
25.06,58.83,0
32.07,58.31,0
35.34,74.86,1
31.55,75.42,1
28.94,81.55,0
32.05,65.65,1
29.8,60.46,0
30.77,80.68,1
35.8,57.76,1
28.87,85.97,0
36.11,80.47,1
35.34,64.82,1
26.78,75.19,0
25.06,77.21,0
